iter	Passed	Remaining
799	6863	1715
800	6872	1707
801	6880	1698
802	6890	1690
803	6899	1681
804	6907	1673
805	6915	1664
806	6923	1655
807	6931	1647
808	6940	1638
809	6948	1630
810	6957	1621
811	6965	1612
812	6973	1604
813	6982	1595
814	6991	1587
815	6999	1578
816	7008	1569
817	7016	1561
818	7025	1552
819	7033	1543
820	7041	1535
821	7049	1526
822	7058	1517
823	7067	1509
824	7075	1500
825	7084	1492
826	7092	1483
827	7100	1474
828	7108	1466
829	7116	1457
830	7124	1448
831	7132	1440
832	7141	1431
833	7149	1423
834	7157	1414
835	7165	1405
836	7174	1397
837	7182	1388
838	7190	1379
839	7198	1371
840	7206	1362
841	7214	1353
842	7222	1345
843	7230	1336
844	7239	1327
845	7247	1319
846	7256	1310
847	7264	1302
848	7273	1293
849	7282	1285
850	7291	1276
851	7299	1268
852	7307	1259
853	7315	1250
854	7323	1242
855	7332	1233
856	7339	1224
857	7348	1216
858	7356	1207
859	7364	1198
860	7372	1190
861	7381	1181
862	7389	1173
863	7397	1164
864	7405	1155
865	7413	1147
866	7422	1138
867	7430	1129
868	7438	1121
869	7447	1112
870	7455	1104
871	7464	1095
872	7472	1087
873	7481	1078
874	7489	1069
875	7497	1061
876	7506	1052
877	7514	1044
878	7522	1035
879	7530	1026
880	7539	1018
881	7547	1009
882	7555	1001
883	7564	992
884	7572	984
885	7581	975
886	7589	966
887	7597	958
888	7606	949
889	7614	941
890	7622	932
891	7630	923
892	7638	915
893	7646	906
894	7654	898
895	7662	889
896	7670	880
897	7679	872
898	7687	863
899	7695	855
900	7704	846
901	7712	837
902	7720	829
903	7729	820
904	7737	812
905	7746	803
906	7754	795
907	7763	786
908	7772	778
909	7780	769
910	7789	761
911	7800	752
912	7809	744
913	7817	735
914	7825	726
915	7834	718
916	7843	709
917	7853	701
918	7862	692
919	7871	684
920	7879	675
921	7889	667
922	7909	659
923	7921	651
924	7929	642
925	7939	634
926	7952	626
927	7962	617
928	7971	609
929	7981	600
930	7990	592
931	7999	583
932	8008	575
933	8018	566
934	8027	558
935	8036	549
936	8044	540
937	8053	532
938	8061	523
939	8070	515
940	8079	506
941	8088	498
942	8096	489
943	8104	480
944	8113	472
945	8121	463
946	8129	454
947	8138	446
948	8147	437
949	8155	429
950	8164	420
951	8172	412
952	8181	403
953	8190	394
954	8198	386
955	8206	377
956	8214	369
957	8222	360
958	8230	351
959	8239	343
960	8247	334
961	8256	326
962	8264	317
963	8273	308
964	8281	300
965	8290	291
966	8299	283
967	8307	274
968	8315	266
969	8323	257
970	8331	248
971	8340	240
972	8348	231
973	8356	223
974	8364	214
975	8373	205
976	8381	197
977	8389	188
978	8397	180
979	8405	171
980	8415	162
981	8423	154
982	8431	145
983	8439	137
984	8448	128
985	8456	120
986	8465	111
987	8473	102
988	8482	94
989	8491	85
990	8499	77
991	8507	68
992	8515	60
993	8523	51
994	8531	42
995	8539	34
996	8548	25
997	8555	17
998	8564	8
999	8572	0
